,text,ReviewStar
2730,"Sound quality is not that of 2900 rupees (MRP). I bought it for 1100, still it could have been better. Worth for 1100.
",3
10558,"It a work horse, amazing sound and clarity, very comfortable. Used it for calls beyond 3 hrs and no ear ache.
",5
12074,"Ordering it again because I lost first one. I wont go for any other product.
",5
13224,"Everything is best except for long wire....That's too long actually
",4
4580,"The sound is amazing. However, while walikng, there is sometimes gibberish sound.
",5
11117,"Good sound quality. But very bad microphone.
",1
11587,"Nothing to appreciate sounds like CX 180 but only Mic is added
",2
13818,"Like
",5
13167,"Did not work after 3 months of using
",2
9821,"base is ok but sound quality is worst... you can get better deal in this price range
",1
1091,"This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.
",1
11269,"Doesn't sound good at high volume . More expected from it keeping brand name in view.
",3
8302,"amassing bass.  Thats Senheiser.Just go for it if you want real sound.
",4
1357,"The headphone was working awesome. Till last Friday it was working fine. Since today morning the right earphone is not working. I am able to listen to music through left earphone but not able to listen through right earphone.
",1
5943,"Not a good product.No noise cancellation.Receiver is not able to hear.  The sounds echo so much.Waste of 2kI want my money back.
",1
6215,"Sound quality isnâ€™t even touches the sound quality of EarPods (earphones which comes in the box  with iPhone)
",2
8762,"Good product
",4
2329,"DisgustedThis is what i am feelingThought its a brand so would work excellentIts Just keep on saying- oops btry low
",1
785,"It's having battery life of 6 hours. The drawback is battery is not indicated properly. After 60 percent it will suddenly drop to 20 percent and the battery will die in 5 minutes. It can't handle too much of sweat.
",3
11584,"Very good sound quality & a good bass too...
",5
488,"Let me tell you very frank bass is quite good not great, connectivity is worst, battery is average, expectations is high for my side as per brand but its response totally fail , disappointed me.last but not the least when i open the parcel seal is open  and box packaging in parcel is damage.
",2
8139,"It has good sound quality but I kind of not like it bcz mic has stopped working within a month which is a very bad review. If u want to buy any earphone then go for any other than this brand because it is costly also.
",1
12176,"Nice
",5
11701,"Very good sound quality,,,best quality
",5
4442,"noise reduction is good,very handy,clear sound.dis adv: bass will not be more.
",4
10164,"sound quality is very good...and also if where listening for long tym u will not feel any pain in your ears...
",5
102,"Just purchase it with your eyes closed man. In 1500 bucks no-one will ever give you such a Bass and good audio quality WIRELESS BLUETOOTH Earphone. Just don't think so much.I don't know about the lasting of the product but feeling the build it seems very premium. This is my first day usage review.===â‰ ====â‰ ===Writing after 5 months of usingOne of earbud stopped working without any reason today.Pathetic product I must say now
",1
5219,"Go for it..sound was awesome
",5
4364,"Just ok for light use
",3
7874,"We can not use a minmium of 1 hour music also.Battery is decreasing (dropping)from 60 percent to 20 percent at a time and after that it is getting a voice like , plz charge the headset. Battery is draining . Full Waste of money. Dont buy it.
",1
8607,"This is one headphone I wish never to lose! This has given me every experience a music lover, especially an OST lover would want. I LOVE IT! <3
",5
10620,"Very bad sound
",1
3920,"Very nice
",5
1139,"I will say it's ok , not the best around .And please never say in this price it's best , I have seen much better .Well it has not given any complaint as such , but there is a snag in the Bluetooth connection makes weird noises .
",3
1694,"I have been using boats products since long..And this a good product in this price range ..Sound quality is good....battery life is around 5 hours of intensive usage.
",4
2975,"Great headphones
",5
923,"Good morning sir,This is Shiva your boat Bluetooth headset was good but sometimes voice calls not properly respond others voice perfectly not understanding after 2 calls attempting 3rd time it was properly respond.could you resolve this problem and give me your valuable solution.
",2
5836,"I spent a lot of time researching for a pair of headphones/ earphones. Was quite unsure of what I should buy. Sometimes reading too many reviews causes paralysis by analysis.Have used JBL as speakers, so thought how bad can these be?They are not bad. Not bad at all.Great sound, comfortable on the ears.Go buy them.
",5
13614,"This product is good
",4
3757,"Not so wow but a good entry level product. there could be a lot more better options out there
",2
6377,"Not gud sounds quality and not fir in ears plz give me other options
",1
12900,"Fine, but not good
",5
11530,"Good
",5
918,"The sound quality is just wow. It stays in ear preety well. I didn't notice any falling off from ear during running. It has flat cable ,but built quality of the cable seemed low. For 999 it is super value for money.
",5
11946,"Excellent product..if you are a music lover...go for it
",5
10266,"awesome product. Using it with my xperia z1 from past 3 months. Sound doesn't crack even at higher volume. Clear sound and amazing bass. A must buy product.. And thanks amazon for prompt delivery.
",5
5712,"worth paying
",5
11148,"Good product but built quality can be improved
",5
3626,"The item has not been taking charging so can not comment on anything as the product is unable to power on
",1
6486,"Good
",5
6987,"Nice to hearing but ear bid not matched with ear.
",4
5823,"First of all i want to convey  JBL to add to some quality in their products if they are charging such a high price for them. I want to share my honest observation and experience about my JBL BT.1. I bought this for the price of Rs. 2199/- which is quite high in comparison to other BT devices containg same features2. Noise cancellation is really poor that if i am outside somewhere the another caller is hardly able to understand the voice properly.3. I bought this device two months back from the very first day it gets disconnected from my mobile whenever any call come then i have to mannually connect it.4. Now its microphone stopped working and the worst part is  i deposited it to the JBL service center on 9th may 2019, they told me that they will take the time of 15days to replace the product even after waiting for more than 20 days i have not recieved any satisfactory answer from JBL customer support then what the hell the term warranty makes any sense.Now they told me that they don't have the same product in the stock and they also don't know when it will be in stock.I am highly disappointed from the customer service from such a highly reputed brand JBL, in my opinion this is just a ordinary BT earphones with a tag of JBL and no quality features.I request  JBL to look into the matter as soon as possible and arrange to replace my product.My service request no. is DL-E250519-25010
",1
9358,"Good
",4
3906,"Very bad battery life i use 1 monthy only battery dead i change 2 hrs its standed only 5 mnts....
",1
1053,"Very good product,if u hav 1.5k go for itGud at battery, bass,durability,built qualityI hav used many Bluetooth earphones but this one is very gud
",5
4832,"Nice
",4
5461,"The product is amazing with a great battery life (usage after 1 week) and noise cancellation and sound quality are top notch not only that but it has such low weight and the package is perfect.
",5
12968,"Sound quality is reasonably good but it's not like pure bass. Long battery hours.
",5
11287,"sound quality is clear and very good. bass sound it right and not over the top
",5
11797,"I bought these headphones recently, the product seems okay , but the cover case of headphones were very old and it felt like the stock clearance product.
",3
9313,"Great sound quality
",5
9164,"Not working within a month. Only one side is audible, even after always keeping in case.
",1
10135,"I didnt have much expectations at this price range for a headphone with mic but this one has just bombed everything. I just love it. I think at this price range with a mic you dont get anything better.Kudos to amazon delivery too.
",5
8691,"This product is good , niceclearity , bits is good , bass is ok it should be more in this price range.
",4
5226,"Awesome sound quality and very comfort..
",5
1986,"I bought this in December 2018 for 1500/-It worked fine for a few months and then one of the earpieces stopped working after4 months. The customer care is non-responsive.
",1
7443,"Best earphones ever & even Sony, JBL, Skullcandy etc can't even match or compared with Sennheiser brand  overall performance is great but which one is right and left note mentioned on earphones dat not a problem & with Dolby Atmos sounds great ðŸ‘ŒðŸ‘
",5
11564,"Nice Earphones, Bass is awesome, Perfectly fits in the ears, Loved it....
",5
4287,"Awesome product quality sound seems good , battery life is also good im fully satisfied
",5
1664,"Go9d.but sound quality is not as good.
",4
4686,"Worst earphones within 2 months left side stopped working please donâ€™t waste your money
",1
6276,"Nice product but the main cable is little short that it wont completely loop up your neck
",5
8360,"Awesome sound , everything's great about this earphone , I loved it.
",5
11092,"Nice one have for smart phone
",5
7047,"Decent bass, sound quality is good.
",4
4571,"Superb bass effort.. Nice thankful Amazon
",5
6781,"Mic problem
",5
