"","topic","avg_sentiment","n"
"1","After-sales Service",0.0612993502551124,62
"2","Bad Performance",0.0703143043872889,80
"3","Bass Quality",0.354991566135934,83
"4","Battery",0.184808154828731,55
"5","Brands",0.244363238291899,32
"6","Clarity",0.240443584906209,51
"7","Connectivity",0.0486494531316282,106
"8","Ergonomics",0.143191586545362,41
"9","Excellent Performance",0.440411774874042,114
"10","Good Performance",0.30360889300656,102
"11","Product Durability",0.268384039265961,66
"12","Regret Purchase",0.0316711215616523,44
"13","Worth the Money",0.390884646925236,149
