"topic","avg_sentiment","n"
"Excellent Performance",0.440411774874042,114
"Worth the Money",0.390884646925236,149
"Bass Quality",0.354991566135934,83
"Good Performance",0.30360889300656,102
"Product Durability",0.268384039265961,66
"Brands",0.244363238291899,32
"Clarity",0.240443584906209,51
"Battery",0.184808154828731,55
"Ergonomics",0.143191586545362,41
"Bad Performance",0.0703143043872889,80
"After-sales Service",0.0612993502551124,62
NA,0.0525783423063209,15
"Bluetooth connectivity",0.0486494531316282,106
"Regret Purchase",0.0316711215616523,44
